filename F1 cer adv_F1 adv_cer nsr aer
Russell-snips-test-102 1.0 0.0 0.8571428571428571 0.2641509433962264 0.00892820954322815 0.6577631831169128
Brian-snips-test-252 1.0 0.0 0.5 1.7843137254901962 0.010026122443377972 0.6432420015335083
Russell-snips-test-182 1.0 0.0 0.6666666666666666 0.3090909090909091 0.008733908645808697 0.6435128450393677
Emma-snips-test-261 1.0 0.0 0.0 1.0 0.008266410790383816 0.8833158612251282
Brian-snips-test-261 1.0 0.0 0.5 0.5245901639344263 0.009040383622050285 0.7469091415405273
Russell-snips-test-121 1.0 0.0 0.0 1.0 0.008957366459071636 0.736997663974762
Brian-snips-test-170 1.0 0.0 1.0 0.16666666666666666 0.009758234024047852 0.6815447211265564
Emma-snips-test-627 1.0 0.0 0.0 1.0 0.008278615772724152 0.7860930562019348
Brian-snips-test-175 1.0 0.0 0.0 1.0 0.009892338886857033 0.830386221408844
Russell-snips-test-690 1.0 0.0 0.8 0.5849056603773585 0.009076799266040325 0.634340763092041
Brian-snips-test-90 1.0 0.0 1.0 0.11627906976744186 0.010654686018824577 0.6502533555030823
Russell-snips-test-73 1.0 0.0 0.8 0.14814814814814814 0.00959437619894743 0.6426728367805481
Raveena-snips-test-696 1.0 0.0 0.0 1.0 0.008169379085302353 0.9066052436828613
Raveena-snips-test-676 1.0 0.0 0.0 1.0 0.008329649455845356 0.8522256016731262
Raveena-snips-test-375 1.0 0.0 0.5 0.6571428571428571 0.00865325890481472 0.823966383934021
Russell-snips-test-643 1.0 0.0 0.0 1.0 0.009350340813398361 0.7755284309387207
Brian-snips-test-680 1.0 0.0 0.0 1.0 0.008563918061554432 0.7628448009490967
Brian-snips-test-556 1.0 0.0 0.0 1.0 0.00953708216547966 0.7747589349746704
Brian-snips-test-584 1.0 0.0 0.6666666666666666 0.8484848484848485 0.009216162376105785 0.6285831928253174
Raveena-snips-test-208 1.0 0.0 0.0 1.0 0.007497704122215509 0.9348449110984802
Russell-snips-test-113 1.0 0.0 0.0 1.0 0.009488986805081367 0.8095315098762512
Brian-snips-test-208 1.0 0.0 0.0 1.0 0.008235604502260685 0.8218846917152405
Emma-snips-test-302 1.0 0.0 0.4 1.8611111111111112 0.008334624581038952 0.7943663597106934
Russell-snips-test-504 1.0 0.0 0.0 1.0 0.009048343636095524 0.7700555324554443
Russell-snips-test-536 1.0 0.0 1.0 0.2 0.010180077515542507 0.6470840573310852
Raveena-snips-test-128 1.0 0.0 0.0 1.0 0.010114284232258797 0.9810716509819031
Brian-snips-test-26 1.0 0.0 0.8 0.35294117647058826 0.010344923473894596 0.6913068294525146
Russell-snips-test-483 1.0 0.0 0.3333333333333333 0.8571428571428571 0.009888089261949062 0.7567547559738159
Emma-snips-test-659 1.0 0.0 0.0 1.0 0.008333870209753513 0.8136240243911743
Brian-snips-test-638 1.0 0.0 0.0 1.0 0.00962566863745451 0.6644614934921265
Russell-snips-test-648 1.0 0.0 0.6666666666666666 0.45454545454545453 0.009296292439103127 0.7364344596862793
Russell-snips-test-43 1.0 0.0 1.0 0.21428571428571427 0.010023877955973148 0.6958816647529602
Brian-snips-test-119 1.0 0.0 0.0 1.0 0.008848936296999454 0.7622848749160767
Raveena-snips-test-427 1.0 0.0 0.5 0.7083333333333334 0.009164480492472649 0.8432424068450928
Brian-snips-test-477 1.0 0.0 1.0 0.21212121212121213 0.010871554724872112 0.7174389958381653
Emma-snips-test-484 1.0 0.0 0.0 1.0 0.008912378922104836 0.9131734371185303
Emma-snips-test-607 1.0 0.0 0.0 1.0 0.008538548834621906 0.7971681356430054
Emma-snips-test-439 1.0 0.0 0.7499999999999999 0.5 0.009613925591111183 0.8139917254447937
Emma-snips-test-19 1.0 0.0 0.0 1.0 0.009710629470646381 0.7869083881378174
Brian-snips-test-146 1.0 0.0 0.0 1.0 0.009648912586271763 0.824230432510376
Raveena-snips-test-146 1.0 0.0 0.0 1.0 0.01119778398424387 0.9277622699737549
Russell-snips-test-697 1.0 0.0 0.6666666666666666 0.5714285714285714 0.00961195956915617 0.6596791744232178
Raveena-snips-test-240 1.0 0.0 0.0 1.0 0.00984292384237051 1.1180546283721924
