filename acc der adv_acc adv_der nsr aer
4992-41806-0016_8230-279154-0023 0.9704949238578681 0.04590818363273453 0.7052664974619289 0.46357285429141715 0.016262073069810867 0.6657724976539612
5105-28233-0005_4446-2275-0013 0.97585601404741 0.042801556420233464 0.62071992976295 0.6723735408560312 0.027056049555540085 0.7545766830444336
1221-135766-0013_1284-1181-0013 0.9751184834123223 0.04144736842105263 0.6248025276461295 0.6131578947368421 0.01557101123034954 0.7034058570861816
61-70970-0028_2300-131720-0013 0.9798416126709864 0.02938090241343127 0.6918646508279338 0.4459601259181532 0.022296691313385963 0.9684947729110718
3729-6852-0020_7176-92135-0016 0.987887963663891 0.01620253164556962 0.7891748675246025 0.25772151898734175 0.020609237253665924 0.8392174243927002
2094-142345-0035_4507-16021-0022 0.9943548387096774 0.00880503144654088 0.8798387096774194 0.18742138364779873 0.018656006082892418 0.8886485695838928
5639-40744-0020_7021-79740-0001 0.975050916496945 0.03409881697981907 0.7958248472505092 0.27905358385525403 0.02122378721833229 0.8711355328559875
4446-2273-0023_6829-68769-0002 0.9811475409836066 0.02843016069221261 0.8557377049180328 0.21755253399258342 0.020531976595520973 0.6180485486984253
1284-1180-0026_1580-141084-0009 0.991556091676719 0.011844331641285956 0.7599517490952955 0.32741116751269034 0.02050606720149517 0.6932113170623779
5683-32866-0006_8463-294828-0027 0.9816053511705686 0.0242024202420242 0.8979933110367893 0.1342134213421342 0.020585939288139343 0.7614516019821167
260-123286-0028_5683-32866-0014 0.9886058981233244 0.01717171717171717 0.7607238605898123 0.3565656565656566 0.019373521208763123 0.8850615620613098
2961-961-0005_1995-1837-0026 0.9796044499381953 0.030499075785582256 0.7274412855377008 0.4048059149722736 0.019307298585772514 0.8674882054328918
5105-28241-0006_8463-294828-0019 0.9701986754966887 0.042293233082706765 0.7807947019867549 0.31109022556390975 0.016264401376247406 0.6580838561058044
1320-122612-0015_6829-68771-0018 0.9804502369668247 0.024300441826215022 0.8524881516587678 0.18335787923416788 0.016415201127529144 0.8010448813438416
7127-75947-0029_6829-68769-0036 0.9828828828828828 0.020948180815876516 0.9072072072072072 0.11356119073869901 0.016904141753911972 0.7004826664924622
4446-2275-0006_1284-134647-0002 0.9745201853077432 0.043849658314350795 0.6522170747849106 0.5933940774487472 0.020564455538988113 0.751297116279602
8224-274381-0010_5105-28240-0000 0.9724669603524229 0.04312823461759632 0.6897944199706314 0.48591144335825187 0.016035111621022224 0.8162923455238342
2830-3980-0037_4970-29095-0020 0.9769417475728155 0.035781544256120526 0.7354368932038835 0.4105461393596987 0.026046255603432655 1.0257564783096313
6829-68769-0015_1580-141084-0011 0.9723926380368099 0.03574975173783516 0.8941717791411042 0.13406156901688182 0.015438232570886612 0.4959833323955536
4970-29093-0022_6829-68771-0024 0.9767628205128205 0.027645376549094377 0.9086538461538461 0.10867492850333652 0.017914703115820885 0.8300070762634277
1089-134686-0002_7729-102255-0037 0.9868421052631579 0.018125 0.7999092558983666 0.275625 0.013373963534832 0.7335955500602722
237-126133-0019_5639-40744-0024 0.9773755656108597 0.027155465037338764 0.8455882352941176 0.17922606924643583 0.015853339806199074 0.6285337805747986
2094-142345-0012_4446-2275-0026 0.9854218362282878 0.022291342664593053 0.640818858560794 0.5857957490927942 0.01595539227128029 0.7803568840026855
1089-134686-0007_1995-1836-0000 0.9905027932960894 0.014705882352941176 0.9435754189944134 0.08737024221453288 0.014443427324295044 0.5104148387908936
4992-23283-0004_1580-141083-0003 0.9751861042183623 0.03076923076923077 0.8684863523573201 0.16307692307692306 0.014558553695678711 0.68071448802948
237-126133-0010_6829-68769-0003 0.9711538461538461 0.03817603393425239 0.8501602564102564 0.19830328738069988 0.018616091459989548 0.6535692811012268
2830-3980-0018_5105-28233-0003 0.9760297096556381 0.04401735895846249 0.587440918298447 0.7575945443273404 0.021768346428871155 0.7517430186271667
3729-6852-0025_7176-88083-0014 0.9828693790149893 0.02631578947368421 0.8586723768736617 0.21710526315789475 0.020280253142118454 0.731717586517334
1221-135767-0010_1995-1837-0021 0.9939024390243902 0.00945179584120983 0.7731707317073171 0.33081285444234404 0.01856819912791252 0.5758610963821411
5142-36377-0004_61-70968-0055 0.9735401459854015 0.03399765533411489 0.885036496350365 0.10433763188745604 0.014766944572329521 0.5131237506866455
6930-81414-0003_2830-3980-0012 0.9883040935672515 0.015151515151515152 0.9327485380116959 0.08712121212121213 0.016341062262654305 0.6135753989219666
121-121726-0000_3570-5694-0022 0.9739952718676123 0.03859649122807018 0.7659574468085106 0.34649122807017546 0.02064771205186844 0.634802520275116
3575-170457-0022_2094-142345-0045 0.9742268041237113 0.04207573632538569 0.7422680412371134 0.42075736325385693 0.018594985827803612 0.7694889903068542
2830-3980-0065_1320-122612-0011 0.9828341855368883 0.024841437632135307 0.7476260043827612 0.3594080338266385 0.023545008152723312 0.8329174518585205
1320-122617-0008_1221-135767-0021 0.9732704402515723 0.043256997455470736 0.6906446540880503 0.49745547073791346 0.01819014362990856 0.5874257683753967
2830-3980-0000_3575-170457-0028 0.9773960216998192 0.03308270676691729 0.7703435804701627 0.3819548872180451 0.01953909918665886 0.8567856550216675
61-70968-0060_3575-170457-0037 0.9904929577464788 0.017894012388162423 0.5732394366197183 0.8306951135581555 0.017533959820866585 0.7688575983047485
