filename acc loss adv_acc adv_loss nsr aer
Ses01M_impro05_F002 1.0 0.08976636826992035 0.0 1.2212344408035278 0.0034798597916960716 0.557971179485321
Ses01M_impro05_F006 1.0 0.2474144995212555 0.0 1.1465511322021484 0.005807246081531048 0.8103710412979126
Ses01M_impro05_F015 1.0 0.6950349807739258 0.0 0.9999076128005981 0.0013943465892225504 0.4249323010444641
Ses01M_impro05_F016 1.0 1.1513195037841797 0.0 4.771854877471924 0.004033401142805815 0.5716975331306458
Ses01M_impro05_F028 1.0 0.02903909608721733 1.0 0.07308147102594376 0.017806123942136765 0.8470847010612488
Ses01M_impro05_M005 1.0 0.009602311067283154 1.0 0.06468172371387482 0.0012763104168698192 0.39792579412460327
Ses01M_impro05_M021 1.0 0.34047719836235046 1.0 0.011828050948679447 0.0025473262649029493 0.5630491971969604
Ses01M_impro05_M024 1.0 0.2499181181192398 1.0 0.02682630904018879 0.0025819290895015 0.46160033345222473
Ses01M_impro05_M026 1.0 0.0051972283981740475 1.0 0.014437145553529263 0.0016246223822236061 0.3570771813392639
Ses01F_script01_1_F034 1.0 0.12936945259571075 1.0 0.10549209266901016 0.015030867420136929 1.0396418571472168
Ses01F_script01_1_F042 1.0 0.001280084135942161 1.0 0.00037555795279331505 0.003028691979125142 0.6747171878814697
Ses01F_script01_1_M000 1.0 0.0018156962469220161 1.0 0.010581931099295616 0.012252140790224075 0.82675701379776
Ses01F_script01_1_M001 1.0 0.4565800130367279 0.0 0.8923331499099731 0.012435662560164928 0.8235597014427185
Ses01F_script01_1_M015 1.0 0.031184254214167595 0.0 2.0409348011016846 0.019405128434300423 0.9729888439178467
Ses01F_script01_1_M017 1.0 0.2912714183330536 1.0 0.03260507807135582 0.007985878735780716 0.7991535067558289
Ses01F_script01_1_M039 1.0 0.0373050756752491 1.0 0.044913649559020996 0.014491247944533825 0.8205202221870422
Ses01M_impro02_M000 1.0 0.2749352753162384 1.0 0.5784922242164612 0.015627175569534302 0.9879249334335327
Ses01M_impro02_M009 1.0 0.43663880228996277 1.0 0.29847389459609985 0.014217732474207878 0.9117139577865601
Ses01M_impro02_M017 1.0 0.17625094950199127 1.0 0.17636089026927948 0.017126068472862244 0.9349479079246521
Ses01M_impro02_M022 1.0 0.5908617377281189 1.0 0.0002960720448754728 0.024118099361658096 1.085217833518982
Ses01M_impro02_M025 1.0 0.10592066496610641 1.0 0.0006772369961254299 0.032695818692445755 0.9859418272972107
Ses01F_script02_2_M017 1.0 0.5599977374076843 0.0 2.126796007156372 0.005537381395697594 0.7845372557640076
Ses01F_script02_2_M022 1.0 0.18791402876377106 0.0 2.6531734466552734 0.020223496481776237 0.9820572137832642
Ses01F_script03_1_F006 1.0 0.12970760464668274 0.0 3.619687557220459 0.004349787253886461 0.5746750831604004
Ses01F_script03_1_F010 1.0 0.19000878930091858 0.0 2.2297985553741455 0.007407701574265957 0.7061010599136353
Ses01F_script03_1_F020 1.0 0.05824703723192215 0.0 1.7175229787826538 0.003825902473181486 0.6172875761985779
Ses01F_script03_1_M010 1.0 0.030470136553049088 1.0 0.11209485679864883 0.0038993661291897297 0.6103148460388184
Ses01F_script03_1_M013 1.0 0.4351007342338562 0.0 1.3348243236541748 0.0017200432484969497 0.4693697988986969
Ses01M_impro01_F019 1.0 3.8980677345534787e-05 1.0 0.0004481264913920313 0.0006470075459219515 0.5256054997444153
Ses01M_impro01_F024 1.0 0.7252390384674072 0.0 1.494649887084961 0.0025284995790570974 0.6155990958213806
Ses01M_script01_3_M018 1.0 0.0348229706287384 1.0 0.202335387468338 0.0035066832788288593 0.5267019271850586
Ses01M_script01_3_M031 1.0 0.00502750976011157 1.0 0.03321239724755287 0.007396552246063948 0.7829757928848267
Ses01M_script01_3_M034 1.0 0.0029479877557605505 1.0 7.486063259420916e-05 0.007577804382890463 0.8812742829322815
Ses01M_script01_3_M036 1.0 0.004906992893666029 1.0 0.18440201878547668 0.006903162691742182 0.8386183977127075
Ses01M_impro03_F006 1.0 0.667438805103302 1.0 0.8009927868843079 0.0008168715285137296 0.3715433180332184
Ses01M_impro03_F009 1.0 0.09046203643083572 0.0 1.1938414573669434 0.0022959078196436167 0.5259547233581543
Ses01M_impro03_F018 1.0 0.004785631783306599 1.0 0.0005179494037292898 0.019362419843673706 0.903830349445343
Ses01M_impro03_M023 1.0 0.014860527589917183 0.0 7.278897762298584 0.004798879846930504 0.6626536846160889
Ses01F_script02_1_F008 1.0 0.006353062577545643 1.0 0.19359029829502106 0.0159152802079916 0.9989716410636902
Ses01F_script02_1_F025 1.0 0.07562769949436188 0.0 1.9627126455307007 0.01667996682226658 1.1242778301239014
Ses01F_script02_1_M008 1.0 0.01157426182180643 1.0 0.02513594925403595 0.01145792007446289 0.8689606785774231
Ses01M_script01_1_F020 1.0 0.004713970236480236 1.0 0.0011262509506195784 0.0014982674038037658 0.5296120047569275
Ses01M_script01_1_F031 1.0 0.008893167600035667 1.0 0.01908241957426071 0.004416503943502903 0.8149914741516113
Ses01M_script01_1_F040 1.0 0.016521546989679337 1.0 0.0286390520632267 0.0007961313240230083 0.384838730096817
Ses01M_script01_2_F009 1.0 0.03628335893154144 1.0 0.19992367923259735 0.0014997387770563364 0.5891201496124268
Ses01M_script01_2_M016 1.0 0.7234903573989868 0.0 1.0882718563079834 0.006511750165373087 0.919847309589386
Ses01F_impro05_F011 1.0 0.010520121082663536 1.0 0.0029345566872507334 0.002676883013918996 0.6496955752372742
