filename uer wer adv_uer adv_wer nsr
7176-88083-0023 0.0 0.0 0.20249221183800623 0.5 0.006001463625580072
2961-960-0018 0.0 0.0 0.3686635944700461 0.7391304347826086 0.008913093246519566
672-122797-0055 0.0 0.0 0.17316017316017315 0.4782608695652174 0.013053471222519875
7021-79730-0005 0.0 0.0 0.4878048780487805 0.8636363636363636 0.005442377645522356
237-134493-0001 0.0 0.0 0.14009661835748793 0.42105263157894735 0.005604805890470743
7021-85628-0008 0.0 0.0 0.40764331210191085 0.7647058823529411 0.006652583833783865
4992-23283-0018 0.0 0.0 0.5079365079365079 1.0 0.011490918695926666
672-122797-0057 0.0 0.0 0.68 1.0 0.011438998393714428
4992-41797-0022 0.0 0.0 0.6193548387096774 1.0555555555555556 0.01165475882589817
7127-75947-0015 0.0 0.0 0.0582010582010582 0.23529411764705882 0.00875956192612648
4446-2273-0023 0.0 0.0 0.12041884816753927 0.4375 0.013150312006473541
1580-141083-0042 0.0 0.0 0.0111731843575419 0.1111111111111111 0.009486389346420765
3575-170457-0022 0.0 0.0 0.09248554913294797 0.16666666666666666 0.006998902186751366
61-70968-0033 0.0 0.0 0.1415525114155251 0.3684210526315789 0.00870626512914896
1320-122617-0017 0.0 0.0 0.18181818181818182 0.47058823529411764 0.006738491356372833
8455-210777-0039 0.0 0.0 0.05027932960893855 0.2 0.0055104587227106094
6930-76324-0002 0.0 0.0 0.07179487179487179 0.16666666666666666 0.011573133058845997
4507-16021-0033 0.0 0.0 0.7133757961783439 1.1333333333333333 0.012450902722775936
260-123288-0008 0.0 0.0 0.291970802919708 0.8333333333333334 0.006456177216023207
4970-29095-0002 0.0 0.0 0.5448275862068965 1.2307692307692308 0.01179463230073452
7127-75947-0007 0.0 0.0 0.0 0.0 0.008212433196604252
5683-32866-0018 0.0 0.0 0.12738853503184713 0.38461538461538464 0.006983153056353331
8224-274384-0013 0.0 0.0 0.32710280373831774 0.7777777777777778 0.008155649527907372
2830-3980-0062 0.0 0.0 0.12195121951219512 0.35714285714285715 0.006470965221524239
1995-1826-0019 0.0 0.0 0.8320610687022901 1.1538461538461537 0.008792797103524208
8555-292519-0012 0.0 0.0 0.990990990990991 1.6363636363636365 0.008173909969627857
672-122797-0040 0.0 0.0 0.5289256198347108 1.0 0.013586882501840591
61-70968-0020 0.0 0.0 0.16296296296296298 0.46153846153846156 0.006463835947215557
237-126133-0022 0.0 0.0 0.44242424242424244 1.1333333333333333 0.014230722561478615
260-123440-0020 0.0 0.0 0.264 0.6153846153846154 0.006356104742735624
5142-33396-0019 0.0 0.0 0.35195530726256985 0.8 0.010472893714904785
8455-210777-0052 0.0 0.0 0.2302158273381295 0.4666666666666667 0.0052407910116016865
672-122797-0017 0.0 0.0 0.1951219512195122 0.7777777777777778 0.006639422383159399
5105-28241-0013 0.0 0.0 0.17054263565891473 0.5 0.011452239006757736
672-122797-0003 0.0 0.0 0.6363636363636364 1.0909090909090908 0.015062890015542507
7127-75946-0007 0.0 0.0 0.023255813953488372 0.09090909090909091 0.0104257483035326
4970-29095-0035 0.0 0.0 0.14728682170542637 0.3333333333333333 0.009840148501098156
6930-81414-0011 0.0 0.0 0.6 1.2222222222222223 0.012018860317766666
672-122797-0051 0.0 0.0 0.5194805194805194 0.8 0.011583434417843819
8230-279154-0039 0.0 0.0 0.16030534351145037 0.38461538461538464 0.006095695775002241
6829-68771-0015 0.0 0.0 0.19875776397515527 0.5294117647058824 0.008090931922197342
7127-75946-0004 0.0 0.0 0.20952380952380953 0.45454545454545453 0.010873014107346535
5105-28233-0001 0.0 0.0 0.11409395973154363 0.38461538461538464 0.011310013011097908
4970-29095-0006 0.0 0.0 0.19205298013245034 0.4666666666666667 0.006963575724512339
7127-75946-0008 0.0 0.0 0.08130081300813008 0.2 0.008632815442979336
6829-68771-0035 0.0 0.0 0.11347517730496454 0.29411764705882354 0.006019659340381622
5683-32879-0012 0.0 0.0 0.1134020618556701 0.2222222222222222 0.008712418377399445
237-126133-0021 0.0 0.0 0.45255474452554745 1.3636363636363635 0.02194240875542164
260-123288-0004 0.0 0.0 0.49230769230769234 0.75 0.011113290674984455
1580-141083-0016 0.0 0.0 0.0 0.0 0.009769601747393608
237-134500-0006 0.0 0.0 0.047244094488188976 0.07692307692307693 0.004421048332005739
4507-16021-0005 0.0 0.0 0.5773195876288659 1.125 0.009773919358849525
1320-122617-0008 0.0 0.0 0.08527131782945736 0.14285714285714285 0.005349312908947468
5683-32879-0022 0.0 0.0 0.2523364485981308 0.6363636363636364 0.005834001582115889
672-122797-0024 0.0 0.0 1.2857142857142858 1.8571428571428572 0.0268145389854908
5683-32879-0021 0.0 0.0 0.352112676056338 0.5714285714285714 0.013202386908233166
237-134493-0013 0.0 0.0 0.07563025210084033 0.25 0.0037162264343351126
4992-23283-0007 0.0 0.0 0.5897435897435898 1.3333333333333333 0.009610019624233246
1089-134686-0026 0.0 0.0 0.12 0.3076923076923077 0.011532807722687721
4507-16021-0043 0.0 0.0 0.8247422680412371 1.3 0.01174076460301876
7127-75947-0019 0.0 0.0 0.4153846153846154 0.5714285714285714 0.012352154590189457
4507-16021-0029 0.0 0.0 0.746268656716418 1.25 0.008508710190653801
1221-135767-0019 0.0 0.0 0.04819277108433735 0.3333333333333333 0.010357962921261787
237-134500-0008 0.0 0.0 0.2184873949579832 0.38461538461538464 0.005756510887295008
3570-5694-0019 0.0 0.0 0.2074074074074074 0.4166666666666667 0.006069200113415718
8455-210777-0067 0.0 0.0 0.2897196261682243 0.5454545454545454 0.004747046157717705
1580-141083-0040 0.0 0.0 0.11382113821138211 0.2727272727272727 0.007823057472705841
8463-287645-0009 0.0 0.0 0.3644859813084112 0.6666666666666666 0.00625302130356431
4992-23283-0015 0.0 0.0 0.17757009345794392 0.4 0.008693123236298561
5683-32879-0001 0.0 0.0 0.06930693069306931 0.18181818181818182 0.0066495719365775585
7176-88083-0017 0.0 0.0 0.0851063829787234 0.3333333333333333 0.006309078074991703
2830-3979-0012 0.0 0.0 0.27848101265822783 0.375 0.004585768561810255
8463-294828-0000 0.0 0.0 0.3442622950819672 0.6 0.010951001197099686
2094-142345-0025 0.0 0.0 0.16091954022988506 0.5555555555555556 0.004684761632233858
260-123440-0003 0.0 0.0 0.29473684210526313 0.6 0.006336827762424946
6829-68771-0028 0.0 0.0 0.0 0.0 0.008462876081466675
6829-68769-0051 0.0 0.0 0.1926605504587156 0.45454545454545453 0.007051009684801102
8463-287645-0001 0.0 0.0 0.15789473684210525 0.5 0.00828087329864502
5142-33396-0011 0.0 0.0 0.3391304347826087 0.7857142857142857 0.013298135250806808
672-122797-0059 0.0 0.0 0.746031746031746 1.1666666666666667 0.01417253352701664
2830-3980-0045 0.0 0.0 0.08247422680412371 0.3333333333333333 0.007151091005653143
5683-32865-0003 0.0 0.0 0.30337078651685395 0.6666666666666666 0.014240898191928864
2830-3980-0044 0.0 0.0 0.16455696202531644 0.5 0.007282266393303871
5142-33396-0023 0.0 0.0 0.3475177304964539 0.75 0.012708822265267372
908-157963-0024 0.0 0.0 1.04 1.25 0.009676172398030758
260-123288-0009 0.0 0.0 0.02654867256637168 0.08333333333333333 0.006117350421845913
2830-3980-0049 0.0 0.0 0.17204301075268819 0.3333333333333333 0.007802641950547695
61-70970-0009 0.0 0.0 0.03296703296703297 0.1 0.008582508191466331
1580-141084-0027 0.0 0.0 0.4878048780487805 1.25 0.013517538085579872
5142-33396-0025 0.0 0.0 0.19101123595505617 0.5 0.007098756730556488
6930-75918-0007 0.0 0.0 0.14666666666666667 0.3333333333333333 0.016225555911660194
7127-75947-0006 0.0 0.0 0.2653061224489796 0.75 0.0181132685393095
3729-6852-0013 0.0 0.0 1.7142857142857142 2.3333333333333335 0.031448815017938614
4446-2273-0033 0.0 0.0 0.14736842105263157 0.5555555555555556 0.016934767365455627
4446-2275-0022 0.0 0.0 0.01680672268907563 0.07692307692307693 0.014641298912465572
1284-1180-0027 0.0 0.0 0.17525773195876287 0.36363636363636365 0.0072554172948002815
7021-85628-0019 0.0 0.0 0.18072289156626506 0.5555555555555556 0.006298312917351723
4446-2275-0032 0.0 0.0 0.0449438202247191 0.1 0.011793579906225204
6930-81414-0021 0.0 0.0 0.0379746835443038 0.14285714285714285 0.009957170113921165
1995-1837-0020 0.0 0.0 0.26436781609195403 0.5 0.007616634946316481
