filename wer adv_wer nsr
7176-88083-0023 0.0 0.4095238095238095 0.006001463625580072
61-70968-0033 0.0 0.273972602739726 0.00870626512914896
672-122797-0055 0.0 0.2638888888888889 0.013053471222519875
2961-960-0018 0.0 0.6142857142857143 0.008913093246519566
7021-79730-0005 0.0 0.7205882352941176 0.005442377645522356
237-134493-0001 0.0 0.26865671641791045 0.005604805890470743
1580-141083-0042 0.0 0.015873015873015872 0.009486389346420765
4446-2273-0023 0.0 0.2222222222222222 0.013150312006473541
7127-75947-0015 0.0 0.11290322580645161 0.00875956192612648
1320-122617-0017 0.0 0.27419354838709675 0.006738491356372833
4992-23283-0018 0.0 1.0806451612903225 0.011490918695926666
6930-76324-0002 0.0 0.22033898305084745 0.011573133058845997
237-126133-0022 0.0 0.9827586206896551 0.014230722561478615
5683-32866-0018 0.0 0.21052631578947367 0.006983153056353331
5142-33396-0019 0.0 0.5454545454545454 0.010472893714904785
3575-170457-0022 0.0 0.2545454545454545 0.006998902186751366
8455-210777-0039 0.0 0.09259259259259259 0.0055104587227106094
6829-68771-0015 0.0 0.3137254901960784 0.008090931922197342
4992-41797-0022 0.0 0.94 0.01165475882589817
7176-88083-0017 0.0 0.20408163265306123 0.006309078074991703
7021-85628-0008 0.0 0.6530612244897959 0.006652583833783865
4507-16021-0033 0.0 1.4375 0.012450902722775936
7127-75947-0007 0.0 0.0 0.008212433196604252
3570-5694-0019 0.0 0.391304347826087 0.006069200113415718
61-70968-0020 0.0 0.1956521739130435 0.006463835947215557
5105-28241-0013 0.0 0.2391304347826087 0.011452239006757736
8455-210777-0052 0.0 0.4444444444444444 0.0052407910116016865
5142-33396-0023 0.0 0.5111111111111111 0.012708822265267372
4970-29095-0002 0.0 0.9333333333333333 0.01179463230073452
237-126133-0021 0.0 0.8666666666666667 0.02194240875542164
5105-28233-0001 0.0 0.2222222222222222 0.011310013011097908
260-123288-0008 0.0 0.4318181818181818 0.006456177216023207
1995-1826-0019 0.0 1.2045454545454546 0.008792797103524208
4970-29095-0006 0.0 0.6976744186046512 0.006963575724512339
6829-68771-0035 0.0 0.20930232558139536 0.006019659340381622
1089-134686-0026 0.0 0.3488372093023256 0.011532807722687721
1580-141083-0040 0.0 0.16666666666666666 0.007823057472705841
6829-68771-0028 0.0 0.023809523809523808 0.008462876081466675
237-134500-0006 0.0 0.047619047619047616 0.004421048332005739
2830-3980-0062 0.0 0.3333333333333333 0.006470965221524239
4970-29095-0035 0.0 1.0 0.009840148501098156
7127-75946-0007 0.0 0.0975609756097561 0.0104257483035326
7127-75946-0008 0.0 0.0975609756097561 0.008632815442979336
1320-122617-0008 0.0 0.17073170731707318 0.005349312908947468
672-122797-0017 0.0 0.2926829268292683 0.006639422383159399
260-123440-0020 0.0 0.525 0.006356104742735624
8230-279154-0039 0.0 0.275 0.006095695775002241
8224-274384-0013 0.0 0.46153846153846156 0.008155649527907372
4992-23283-0007 0.0 0.8974358974358975 0.009610019624233246
1580-141083-0016 0.0 0.0 0.009769601747393608
6829-68769-0051 0.0 0.21052631578947367 0.007051009684801102
8455-210777-0067 0.0 0.4594594594594595 0.004747046157717705
237-134493-0013 0.0 0.13513513513513514 0.0037162264343351126
4992-23283-0015 0.0 0.4594594594594595 0.008693123236298561
7127-75946-0004 0.0 0.3611111111111111 0.010873014107346535
237-134500-0008 0.0 0.3611111111111111 0.005756510887295008
4446-2275-0022 0.0 0.1111111111111111 0.014641298912465572
4507-16021-0005 0.0 0.5714285714285714 0.009773919358849525
5683-32879-0012 0.0 0.20588235294117646 0.008712418377399445
5142-33396-0011 0.0 0.6060606060606061 0.013298135250806808
672-122797-0040 0.0 1.0 0.013586882501840591
8463-287645-0001 0.0 0.3333333333333333 0.00828087329864502
8463-287645-0009 0.0 0.6363636363636364 0.00625302130356431
260-123288-0009 0.0 0.09375 0.006117350421845913
1284-1180-0027 0.0 0.40625 0.0072554172948002815
5683-32879-0022 0.0 0.40625 0.005834001582115889
61-70970-0009 0.0 0.15625 0.008582508191466331
8555-292519-0012 0.0 1.25 0.008173909969627857
2830-3980-0049 0.0 0.3125 0.007802641950547695
2830-3980-0045 0.0 0.15625 0.007151091005653143
4507-16021-0043 0.0 1.5483870967741935 0.01174076460301876
672-122797-0003 0.0 0.7419354838709677 0.015062890015542507
4446-2273-0033 0.0 0.41935483870967744 0.016934767365455627
2094-142345-0025 0.0 0.4 0.004684761632233858
6930-81414-0011 0.0 0.4827586206896552 0.012018860317766666
260-123440-0003 0.0 0.4827586206896552 0.006336827762424946
5683-32879-0001 0.0 0.13793103448275862 0.0066495719365775585
5142-33396-0025 0.0 0.32142857142857145 0.007098756730556488
7021-85628-0019 0.0 0.5 0.006298312917351723
4446-2275-0032 0.0 1.0 0.011793579906225204
6930-81414-0021 0.0 0.07692307692307693 0.009957170113921165
5683-32865-0003 0.0 0.5384615384615384 0.014240898191928864
672-122797-0024 0.0 2.230769230769231 0.0268145389854908
5683-32879-0021 0.0 0.52 0.013202386908233166
672-122797-0057 0.0 0.6 0.011438998393714428
2830-3979-0012 0.0 0.16 0.004585768561810255
6930-75918-0007 0.0 0.20833333333333334 0.016225555911660194
1995-1837-0020 0.0 0.5833333333333334 0.007616634946316481
1221-135767-0019 0.0 0.25 0.010357962921261787
4507-16021-0029 0.0 1.1666666666666667 0.008508710190653801
908-157963-0024 0.0 1.5833333333333333 0.009676172398030758
2830-3980-0044 0.0 0.25 0.007282266393303871
672-122797-0051 0.0 0.7391304347826086 0.011583434417843819
7127-75947-0019 0.0 1.0 0.012352154590189457
8463-294828-0000 0.0 0.3 0.010951001197099686
672-122797-0059 0.0 1.5263157894736843 0.01417253352701664
260-123288-0004 0.0 2.176470588235294 0.011113290674984455
7127-75947-0006 0.0 1.0 0.0181132685393095
1580-141084-0027 0.0 0.7333333333333333 0.013517538085579872
